iter	Passed	Remaining
419	2172	2999
420	2175	2991
421	2181	2988
422	2184	2979
423	2187	2971
424	2190	2963
425	2196	2959
426	2199	2951
427	2202	2943
428	2205	2934
429	2208	2927
430	2215	2924
431	2218	2916
432	2223	2911
433	2230	2908
434	2233	2901
435	2236	2893
436	2239	2885
437	2247	2883
438	2250	2875
439	2254	2869
440	2260	2865
441	2263	2857
442	2266	2849
443	2269	2841
444	2272	2833
445	2276	2828
446	2279	2820
447	2282	2812
448	2285	2805
449	2288	2797
450	2295	2793
451	2298	2786
452	2300	2778
453	2303	2770
454	2309	2766
455	2312	2758
456	2315	2751
457	2318	2743
458	2321	2735
459	2324	2728
460	2328	2721
461	2331	2714
462	2334	2707
463	2340	2703
464	2343	2696
465	2348	2690
466	2353	2686
467	2357	2679
468	2362	2674
469	2365	2667
470	2373	2665
471	2377	2659
472	2381	2653
473	2388	2650
474	2392	2644
475	2396	2637
476	2402	2634
477	2406	2628
478	2410	2621
479	2413	2614
480	2421	2613
481	2425	2606
482	2428	2599
483	2437	2598
484	2440	2591
485	2444	2585
486	2447	2578
487	2455	2576
488	2458	2569
489	2462	2562
490	2466	2557
491	2470	2551
492	2473	2544
493	2477	2537
494	2484	2534
495	2487	2527
496	2490	2520
497	2494	2514
498	2500	2510
499	2504	2504
500	2507	2497
501	2516	2496
502	2519	2489
503	2523	2483
504	2526	2476
505	2533	2473
506	2536	2466
507	2540	2460
508	2544	2454
509	2549	2449
510	2553	2443
511	2557	2437
512	2563	2433
513	2567	2427
514	2571	2421
515	2574	2415
516	2582	2412
517	2587	2407
518	2591	2401
519	2601	2401
520	2605	2395
521	2612	2392
522	2617	2387
523	2621	2381
524	2628	2378
525	2633	2373
526	2638	2368
527	2647	2366
528	2650	2360
529	2654	2354
530	2659	2348
531	2664	2343
532	2670	2340
533	2674	2333
534	2677	2326
535	2679	2319
536	2682	2313
537	2689	2309
538	2691	2302
539	2694	2295
540	2697	2288
541	2703	2284
542	2708	2279
543	2711	2273
544	2714	2266
545	2720	2262
546	2723	2255
547	2726	2248
548	2729	2242
549	2732	2235
550	2736	2229
551	2739	2223
552	2742	2216
553	2744	2209
554	2747	2203
555	2753	2199
556	2756	2192
557	2759	2185
558	2762	2179
559	2768	2175
560	2772	2169
561	2776	2163
562	2780	2158
563	2787	2154
564	2790	2148
565	2794	2142
566	2802	2139
567	2805	2133
568	2811	2129
569	2819	2126
570	2822	2120
571	2826	2114
572	2832	2110
573	2835	2104
574	2838	2097
575	2840	2091
576	2843	2084
577	2848	2079
578	2851	2073
579	2854	2066
580	2857	2060
581	2859	2054
582	2866	2050
583	2869	2043
584	2872	2037
585	2875	2031
586	2880	2026
587	2883	2020
588	2887	2014
589	2890	2008
590	2897	2005
591	2901	1999
592	2904	1993
593	2907	1987
594	2914	1984
595	2918	1978
596	2921	1972
597	2926	1967
598	2929	1961
599	2933	1955
600	2935	1949
601	2938	1942
602	2944	1938
603	2947	1932
604	2950	1926
605	2953	1920
606	2956	1914
607	2963	1910
608	2965	1904
609	2968	1898
610	2971	1891
611	2978	1888
612	2981	1882
613	2983	1875
614	2986	1869
615	2989	1863
616	2993	1857
617	2995	1851
618	2999	1846
619	3002	1840
620	3010	1837
621	3013	1831
622	3017	1825
623	3025	1822
624	3028	1817
625	3032	1811
626	3037	1806
627	3040	1801
628	3043	1795
629	3047	1789
630	3050	1783
631	3057	1780
632	3061	1775
633	3064	1769
634	3071	1765
635	3075	1759
636	3078	1754
637	3081	1748
638	3088	1745
639	3092	1739
640	3095	1733
641	3099	1728
642	3105	1724
643	3109	1718
644	3112	1713
645	3118	1708
646	3122	1703
647	3125	1697
648	3130	1693
649	3136	1688
650	3139	1683
651	3142	1677
652	3145	1671
653	3148	1665
654	3151	1660
655	3154	1654
656	3157	1648
657	3160	1642
